vipcode,usenum
greencat,10
yellowbear,10
blackcat,5
greencat,10
blackmonkey,1
redtiger,2
orangesheep,2
purpletiger,1
pinkelephant,0
browncat,0
brownelephant,0
blackdog,2
bluedog,11
bluesheep,0
whitebear,2
bluemonkey,0
yellowelephant,0
bluehorse,0
pinkrabbit,0
bluerabbit,0
brownbear,0
blackrabbit,0
yellowmonkey,0
pinksheep,0
brownlion,0
orangedog,0
yellowdog,0
whiterabbit,0
blackelephant,0
orangemonkey,0
yellowlion,0
redcat,2
purpledog,0
pinklion,0
purplelion,0
yellowsheep,0
greenlion,0
redrabbit,0
pinkdog,0
orangeelephant,0
greenhorse,0
purplecat,0
purplebear,0
blackbear,0
blueelephant,0
greendog,0
whitelion,0
